@relation krkopt_clustered-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0

@attribute Instance_number numeric
@attribute whitekingfile {a,b,c,d}
@attribute whitekingrank numeric
@attribute whiterookfile {b,c,d,e,f,g,h,a}
@attribute whiterookrank numeric
@attribute blackkingfile {c,d,e,f,g,h,a,b}
@attribute blackkingrank numeric
@attribute optimalwindepth {draw,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen}
@attribute Cluster {cluster0,cluster1}

@data
20666,d,2,g,6,b,3,thirteen,cluster0
5821,d,2,a,8,h,2,eight,cluster0
12308,d,2,h,7,h,4,eleven,cluster0
18173,c,1,e,6,h,3,thirteen,cluster1
22165,b,1,h,7,h,3,fourteen,cluster1
481,b,1,g,1,f,2,draw,cluster1
17078,b,1,b,7,b,3,thirteen,cluster1
11206,c,2,e,2,d,8,eleven,cluster0
24666,d,1,d,8,d,6,fourteen,cluster1
3963,c,3,d,2,e,1,six,cluster0
13855,c,1,b,3,h,7,twelve,cluster1
14069,c,1,f,5,h,4,twelve,cluster1
9156,c,3,c,5,e,4,ten,cluster0
9660,d,2,g,1,a,8,ten,cluster0
11685,d,1,c,2,b,4,eleven,cluster1
2988,c,2,g,4,a,2,two,cluster0
8959,c,2,d,8,a,5,ten,cluster0
19567,d,1,c,3,h,3,thirteen,cluster1
13048,d,4,d,8,f,4,eleven,cluster0
14038,c,1,e,8,h,3,twelve,cluster1
183,a,1,h,4,h,5,draw,cluster1
21847,b,1,e,8,c,6,fourteen,cluster1
27328,d,1,b,1,e,4,fifteen,cluster1
27781,a,1,d,6,g,6,sixteen,cluster1
19017,c,2,g,4,d,5,thirteen,cluster0
1640,d,1,a,5,a,6,draw,cluster1
15737,d,2,e,2,c,7,twelve,cluster0
4416,d,3,g,7,h,2,six,cluster0
24789,d,1,f,1,c,7,fourteen,cluster1
20057,d,2,a,7,b,4,thirteen,cluster0
886,c,1,d,5,c,4,draw,cluster1
5740,d,1,c,8,h,2,eight,cluster1
7525,d,2,f,7,a,8,nine,cluster0
1724,d,1,c,5,b,4,draw,cluster1
26833,b,2,h,8,d,3,fifteen,cluster0
1671,d,1,b,3,c,3,draw,cluster1
17629,b,2,b,8,h,4,thirteen,cluster0
16626,d,3,h,3,d,6,twelve,cluster0
11696,d,1,c,5,a,7,eleven,cluster1
16527,d,3,g,3,e,8,twelve,cluster0
11249,c,2,f,1,a,7,eleven,cluster0
23978,c,2,g,2,g,4,fourteen,cluster0
14644,c,2,f,8,a,7,twelve,cluster0
8406,b,1,a,5,f,1,ten,cluster1
10573,b,1,e,4,f,2,eleven,cluster1
162,a,1,g,7,h,6,draw,cluster1
13616,b,2,c,1,h,5,twelve,cluster0
11070,c,2,a,1,h,8,eleven,cluster0
22663,c,1,a,2,f,4,fourteen,cluster1
7589,d,3,b,2,f,3,nine,cluster0
25455,d,2,f,8,f,5,fourteen,cluster0
4844,d,2,h,3,g,1,seven,cluster0
4675,c,2,h,5,a,3,seven,cluster0
27880,a,1,g,7,g,4,sixteen,cluster1
24483,d,1,c,1,c,8,fourteen,cluster1
18343,c,1,h,5,e,3,thirteen,cluster1
20627,d,2,g,3,f,6,thirteen,cluster0
3640,d,2,f,5,a,2,five,cluster0
19726,d,1,e,3,b,6,thirteen,cluster1
18633,c,2,b,7,g,4,thirteen,cluster0
12892,d,4,a,1,f,4,eleven,cluster0
12058,d,2,d,5,g,5,eleven,cluster0
7968,d,4,b,1,h,3,nine,cluster0
4494,a,1,b,2,g,1,seven,cluster1
26323,b,1,d,8,e,2,fifteen,cluster1
2893,d,3,b,7,c,1,one,cluster0
17780,b,2,f,5,e,2,thirteen,cluster0
8990,c,2,f,1,g,7,ten,cluster0
12817,d,3,h,2,h,4,eleven,cluster0
16623,d,3,h,3,c,6,twelve,cluster0
8054,d,4,c,3,h,6,nine,cluster0
3156,c,3,c,4,b,1,three,cluster0
18967,c,2,g,1,f,7,thirteen,cluster0
24059,c,2,h,3,e,5,fourteen,cluster0
2984,c,2,g,1,a,2,two,cluster0
9326,d,1,c,4,e,3,ten,cluster1
1181,c,2,b,7,c,7,draw,cluster0
8767,c,1,e,2,a,8,ten,cluster1
5915,d,2,g,6,h,3,eight,cluster0
13812,c,1,a,2,b,8,twelve,cluster1
8375,a,1,g,6,h,1,ten,cluster1
18631,c,2,b,7,f,6,thirteen,cluster0
13820,c,1,a,4,a,7,twelve,cluster1
14853,c,3,b,2,h,6,twelve,cluster0
3008,c,3,b,4,c,1,two,cluster0
15712,d,2,d,8,g,8,twelve,cluster0
23041,c,1,c,5,g,5,fourteen,cluster1
22801,c,1,a,8,d,3,fourteen,cluster1
6299,d,4,b,6,c,1,eight,cluster0
2112,d,2,d,5,c,5,draw,cluster0
27684,a,1,b,5,d,3,sixteen,cluster1
9486,d,2,c,7,a,3,ten,cluster0
26355,b,1,e,6,c,6,fifteen,cluster1
15522,d,2,a,3,g,8,twelve,cluster0
8407,b,1,a,6,d,1,ten,cluster1
23312,c,1,f,5,d,8,fourteen,cluster1
26066,b,1,b,3,f,4,fifteen,cluster1
20975,a,1,a,7,d,2,fourteen,cluster1
20056,d,2,a,6,h,6,thirteen,cluster0
16898,a,1,f,4,h,8,thirteen,cluster1
23936,c,2,f,7,d,7,fourteen,cluster0
21107,a,1,e,1,f,5,fourteen,cluster1
18924,c,2,f,4,c,8,thirteen,cluster0
17198,b,1,e,1,b,3,thirteen,cluster1
5092,d,4,d,6,h,1,seven,cluster0
12874,d,3,h,7,b,7,eleven,cluster0
13364,b,1,d,6,a,3,twelve,cluster1
24291,d,1,a,7,g,4,fourteen,cluster1
14440,c,2,e,1,g,8,twelve,cluster0
26586,b,1,h,1,e,3,fifteen,cluster1
25411,d,2,f,3,d,4,fourteen,cluster0
18113,c,1,e,2,g,4,thirteen,cluster1
4741,d,1,g,1,h,8,seven,cluster1
16880,a,1,f,3,h,6,thirteen,cluster1
17900,c,1,a,7,e,2,thirteen,cluster1
10624,b,1,g,3,a,6,eleven,cluster1
11071,c,2,a,2,a,6,eleven,cluster0
13254,a,1,g,1,d,1,twelve,cluster1
11877,d,1,g,3,a,7,eleven,cluster1
22468,b,2,f,1,d,2,fourteen,cluster0
9854,d,3,e,3,h,6,ten,cluster0
17322,b,1,e,7,h,5,thirteen,cluster1
25106,d,1,h,3,c,3,fourteen,cluster1
22072,b,1,h,2,f,8,fourteen,cluster1
12031,d,2,d,3,b,4,eleven,cluster0
16051,d,3,a,4,f,4,twelve,cluster0
27153,c,1,f,6,f,3,fifteen,cluster1
18355,c,1,h,5,h,8,thirteen,cluster1
24967,d,1,g,4,c,8,fourteen,cluster1
8122,d,4,d,5,h,5,nine,cluster0
23867,c,2,d,6,e,2,fourteen,cluster0
17285,b,1,e,4,c,8,thirteen,cluster1
11856,d,1,f,7,g,5,eleven,cluster1
3922,c,1,b,2,h,1,six,cluster1
8257,d,4,f,8,f,4,nine,cluster0
18557,c,2,b,2,d,6,thirteen,cluster0
8794,c,1,f,8,g,1,ten,cluster1
18577,c,2,b,3,d,7,thirteen,cluster0
5543,c,2,g,1,h,5,eight,cluster0
1248,c,2,d,7,d,8,draw,cluster0
9414,d,1,h,8,g,1,ten,cluster1
7924,d,4,a,3,h,7,nine,cluster0
2094,d,2,c,7,b,7,draw,cluster0
25980,b,1,a,2,f,5,fifteen,cluster1
18426,c,2,a,2,h,4,thirteen,cluster0
25912,a,1,g,7,f,2,fifteen,cluster1
24342,d,1,b,1,e,8,fourteen,cluster1
24911,d,1,g,1,g,5,fourteen,cluster1
26552,b,1,g,7,d,6,fifteen,cluster1
20196,d,2,b,5,d,4,thirteen,cluster0
16350,d,3,d,7,g,5,twelve,cluster0
8705,c,1,a,5,h,3,ten,cluster1
25750,a,1,d,7,f,4,fifteen,cluster1
27995,b,1,d,7,f,5,sixteen,cluster1
16752,d,4,h,7,h,5,twelve,cluster0
21635,b,1,c,5,g,5,fourteen,cluster1
787,c,1,b,3,a,4,draw,cluster1
12856,d,3,h,5,e,8,eleven,cluster0
5148,d,4,g,4,h,6,seven,cluster0
23468,c,1,g,8,f,2,fourteen,cluster1
7008,c,2,a,4,e,2,nine,cluster0
16466,d,3,g,1,b,6,twelve,cluster0
2292,d,2,h,3,g,3,draw,cluster0
8715,c,1,b,5,g,2,ten,cluster1
18911,c,2,f,3,e,6,thirteen,cluster0
18423,c,2,a,2,g,5,thirteen,cluster0
22599,b,2,h,8,g,5,fourteen,cluster0
13755,b,2,g,1,e,1,twelve,cluster0
14792,c,3,a,3,e,3,twelve,cluster0
10641,b,1,h,2,a,6,eleven,cluster1
26588,b,1,h,1,e,5,fifteen,cluster1
14474,c,2,e,2,h,5,twelve,cluster0
26852,c,1,b,2,c,4,fifteen,cluster1
24560,d,1,c,5,c,3,fourteen,cluster1
22058,b,1,h,1,g,4,fourteen,cluster1
23347,c,1,g,1,f,7,fourteen,cluster1
19247,c,3,b,2,e,4,thirteen,cluster0
2275,d,2,g,7,h,6,draw,cluster0
6356,d,4,d,3,g,2,eight,cluster0
8148,d,4,d,8,c,2,nine,cluster0
17016,b,1,a,5,f,8,thirteen,cluster1
10817,c,1,a,5,f,2,eleven,cluster1
26957,c,1,c,6,g,5,fifteen,cluster1
26877,c,1,b,6,b,4,fifteen,cluster1
9150,c,3,c,1,h,2,ten,cluster0
17614,b,2,b,5,h,5,thirteen,cluster0
24262,d,1,a,6,g,6,fourteen,cluster1
6308,d,4,b,8,b,1,eight,cluster0
2207,d,2,f,6,f,5,draw,cluster0
12801,d,3,h,1,f,8,eleven,cluster0
8749,c,1,c,7,b,3,ten,cluster1
14266,c,2,b,1,b,6,twelve,cluster0
3956,c,3,b,2,c,1,six,cluster0
23733,c,2,b,6,d,4,fourteen,cluster0
18133,c,1,e,3,f,7,thirteen,cluster1
1568,c,3,g,5,f,6,draw,cluster0
6205,d,3,g,7,e,1,eight,cluster0
19563,d,1,b,8,h,8,thirteen,cluster1
9422,d,2,a,4,h,7,ten,cluster0
19123,c,2,h,3,e,8,thirteen,cluster0
12926,d,4,a,7,g,4,eleven,cluster0
26471,b,1,g,1,e,4,fifteen,cluster1
8093,d,4,c,8,h,6,nine,cluster0
10229,d,4,f,3,g,5,ten,cluster0
8549,b,1,h,1,d,1,ten,cluster1
13330,b,1,d,1,c,6,twelve,cluster1
593,b,2,e,1,d,1,draw,cluster0
13693,b,2,f,2,g,6,twelve,cluster0
21760,b,1,e,3,b,3,fourteen,cluster1
3460,c,3,d,2,d,1,five,cluster0
26807,b,2,h,3,d,3,fifteen,cluster0
12401,d,3,a,8,h,5,eleven,cluster0
9026,c,2,g,4,e,2,ten,cluster0
7583,d,3,a,8,f,3,nine,cluster0
21556,b,1,b,8,f,8,fourteen,cluster1
7761,d,3,e,4,b,8,nine,cluster0
24717,d,1,e,3,d,5,fourteen,cluster1
4574,c,1,d,3,h,1,seven,cluster1
508,b,1,g,4,h,5,draw,cluster1
5484,c,2,c,4,e,1,eight,cluster0
15293,d,1,d,8,a,5,twelve,cluster1
28044,b,1,g,3,f,5,sixteen,cluster1
6446,d,4,f,3,d,2,eight,cluster0
18877,c,2,f,1,c,4,thirteen,cluster0
12895,d,4,a,1,g,4,eleven,cluster0
22354,b,2,d,1,f,2,fourteen,cluster0
25584,a,1,b,1,g,3,fifteen,cluster1
26715,b,2,c,3,f,5,fifteen,cluster0
6094,d,3,d,2,a,8,eight,cluster0
17968,c,1,c,2,h,5,thirteen,cluster1
11992,d,2,c,1,h,6,eleven,cluster0
22603,c,1,a,1,a,4,fourteen,cluster1
15558,d,2,a,7,h,5,twelve,cluster0
4832,d,2,g,5,a,4,seven,cluster0
21605,b,1,c,4,d,7,fourteen,cluster1
26671,b,1,h,7,g,4,fifteen,cluster1
2079,d,2,c,5,b,6,draw,cluster0
9409,d,1,h,7,e,8,ten,cluster1
14804,c,3,a,4,g,6,twelve,cluster0
12275,d,2,h,3,a,5,eleven,cluster0
6355,d,4,d,3,g,1,eight,cluster0
14383,c,2,d,4,g,6,twelve,cluster0
16437,d,3,f,4,d,7,twelve,cluster0
14918,c,3,c,5,f,5,twelve,cluster0
18508,c,2,a,8,c,5,thirteen,cluster0
14898,c,3,c,1,g,4,twelve,cluster0
21454,b,1,a,8,e,7,fourteen,cluster1
10895,c,1,d,4,a,7,eleven,cluster1
7042,c,2,c,5,a,5,nine,cluster0
10979,c,1,f,2,h,6,eleven,cluster1
25399,d,2,f,1,e,5,fourteen,cluster0
15882,d,2,g,5,d,8,twelve,cluster0
22737,c,1,a,6,a,4,fourteen,cluster1
23404,c,1,g,4,d,5,fourteen,cluster1
4052,d,1,d,4,h,1,six,cluster1
12064,d,2,d,5,h,7,eleven,cluster0
20257,d,2,c,1,f,8,thirteen,cluster0
4201,d,2,d,7,f,1,six,cluster0
25110,d,1,h,3,c,7,fourteen,cluster1
1060,c,1,g,5,f,6,draw,cluster1
5631,c,3,d,8,g,1,eight,cluster0
2972,c,2,e,8,a,2,two,cluster0
24688,d,1,e,1,c,3,fourteen,cluster1
8554,b,1,h,4,d,1,ten,cluster1
27851,a,1,g,3,g,6,sixteen,cluster1
6406,d,4,e,6,d,2,eight,cluster0
25559,a,1,a,8,d,3,fifteen,cluster1
18764,c,2,d,2,g,4,thirteen,cluster0
27399,d,1,c,1,d,5,fifteen,cluster1
13879,c,1,c,4,g,8,twelve,cluster1
24977,d,1,g,4,g,7,fourteen,cluster1
21601,b,1,c,3,h,6,fourteen,cluster1
19681,d,1,e,1,c,8,thirteen,cluster1
9384,d,1,g,3,a,8,ten,cluster1
3402,d,3,f,3,c,1,four,cluster0
23397,c,1,g,4,b,6,fourteen,cluster1
18321,c,1,h,4,h,7,thirteen,cluster1
7150,c,2,f,4,e,1,nine,cluster0
24272,d,1,a,7,c,5,fourteen,cluster1
16395,d,3,f,2,b,4,twelve,cluster0
12004,d,2,c,4,h,5,eleven,cluster0
2527,d,3,f,6,g,7,draw,cluster0
4294,d,3,c,1,h,1,six,cluster0
22369,b,2,d,2,f,4,fourteen,cluster0
484,b,1,g,1,h,2,draw,cluster1
15985,d,2,h,8,h,6,twelve,cluster0
7835,d,3,f,6,h,7,nine,cluster0
24981,d,1,g,5,d,8,fourteen,cluster1
6655,b,1,b,6,h,1,nine,cluster1
20775,d,2,h,3,f,4,thirteen,cluster0
24467,d,1,b,8,e,4,fourteen,cluster1
7692,d,3,c,8,f,3,nine,cluster0
3403,d,3,f,3,d,1,four,cluster0
22996,c,1,c,3,f,5,fourteen,cluster1
13142,d,4,h,5,f,6,eleven,cluster0
9685,d,2,h,6,g,2,ten,cluster0
2528,d,3,f,7,e,6,draw,cluster0
15035,c,3,e,8,g,3,twelve,cluster0
9611,d,2,f,3,h,6,ten,cluster0
23741,c,2,b,6,f,5,fourteen,cluster0
7708,d,3,d,4,c,6,nine,cluster0
20112,d,2,b,1,f,8,thirteen,cluster0
21702,b,1,d,5,e,2,fourteen,cluster1
19188,c,2,h,7,e,6,thirteen,cluster0
26914,c,1,b,8,d,5,fifteen,cluster1
15251,d,1,d,3,b,5,twelve,cluster1
3636,d,2,f,3,h,2,five,cluster0
19346,c,3,d,8,f,5,thirteen,cluster0
1585,c,3,g,7,h,8,draw,cluster0
2675,d,4,e,2,f,1,draw,cluster0
16144,d,3,b,3,c,5,twelve,cluster0
17435,b,1,g,1,b,6,thirteen,cluster1
6360,d,4,d,5,h,4,eight,cluster0
3519,d,1,f,1,b,1,five,cluster1
9097,c,3,a,7,e,1,ten,cluster0
8032,d,4,c,1,h,4,nine,cluster0
16860,a,1,e,8,f,2,thirteen,cluster1
6527,d,4,g,5,c,2,eight,cluster0
13479,b,1,f,7,h,1,twelve,cluster1
16303,d,3,d,1,c,5,twelve,cluster0
10986,c,1,f,3,g,8,eleven,cluster1
21356,b,1,a,4,b,7,fourteen,cluster1
16934,a,1,f,8,h,6,thirteen,cluster1
25299,d,2,b,6,c,4,fourteen,cluster0
17519,b,1,h,6,d,8,thirteen,cluster1
810,c,1,b,6,b,5,draw,cluster1
24767,d,1,e,8,b,7,fourteen,cluster1
3774,d,3,e,2,g,1,five,cluster0
26768,b,2,g,2,d,3,fifteen,cluster0
9659,d,2,g,1,a,3,ten,cluster0
22890,c,1,b,3,g,8,fourteen,cluster1
25321,d,2,c,1,c,4,fourteen,cluster0
5957,d,3,a,5,g,2,eight,cluster0
10004,d,3,g,6,c,8,ten,cluster0
17872,c,1,a,5,e,4,thirteen,cluster1
25412,d,2,f,3,d,5,fourteen,cluster0
22232,b,2,a,7,f,3,fourteen,cluster0
2562,d,3,g,4,f,3,draw,cluster0
2895,d,3,f,3,e,1,one,cluster0
2098,d,2,c,7,d,6,draw,cluster0
8512,b,1,f,3,d,2,ten,cluster1
15410,d,1,f,7,a,4,twelve,cluster1
18547,c,2,b,1,g,5,thirteen,cluster0
23126,c,1,d,8,f,7,fourteen,cluster1
23729,c,2,b,3,f,4,fourteen,cluster0
28050,b,1,g,6,g,4,sixteen,cluster1
20537,d,2,f,5,c,8,thirteen,cluster0
149,a,1,g,5,g,6,draw,cluster1
21784,b,1,e,5,b,5,fourteen,cluster1
22946,c,1,b,7,h,7,fourteen,cluster1
436,b,1,f,3,e,3,draw,cluster1
25164,d,1,h,6,a,4,fourteen,cluster1
3537,d,1,g,1,b,1,five,cluster1
310,b,1,c,8,d,8,draw,cluster1
7394,d,1,c,4,f,2,nine,cluster1
5453,c,2,b,6,e,1,eight,cluster0
505,b,1,g,4,g,5,draw,cluster1
4627,c,2,b,8,a,4,seven,cluster0
21874,b,1,f,2,d,7,fourteen,cluster1
6049,d,3,c,4,b,6,eight,cluster0
17635,b,2,c,2,g,3,thirteen,cluster0
2680,d,4,f,1,e,2,draw,cluster0
2662,d,4,d,2,c,1,draw,cluster0
982,c,1,f,2,g,3,draw,cluster1
27235,c,1,g,6,b,4,fifteen,cluster1
12807,d,3,h,1,h,6,eleven,cluster0
24441,d,1,b,6,g,3,fourteen,cluster1
25831,a,1,e,6,g,6,fifteen,cluster1
15411,d,1,f,8,a,3,twelve,cluster1
21084,a,1,d,4,g,5,fourteen,cluster1
21348,b,1,a,3,g,6,fourteen,cluster1
13062,d,4,e,2,g,6,eleven,cluster0
12557,d,3,d,4,d,5,eleven,cluster0
19932,d,1,h,5,f,4,thirteen,cluster1
203,b,1,a,4,a,3,draw,cluster1
28040,b,1,f,7,f,5,sixteen,cluster1
23841,c,2,d,1,e,5,fourteen,cluster0
18759,c,2,d,2,e,8,thirteen,cluster0
27849,a,1,g,3,f,6,sixteen,cluster1
21658,b,1,c,8,g,6,fourteen,cluster1
1187,c,2,b,8,c,8,draw,cluster0
5725,d,1,b,7,h,2,eight,cluster1
24565,d,1,c,5,e,3,fourteen,cluster1
11281,c,2,f,3,g,6,eleven,cluster0
11895,d,1,h,7,b,2,eleven,cluster1
21155,a,1,e,7,g,2,fourteen,cluster1
7621,d,3,c,1,b,4,nine,cluster0
24960,d,1,g,4,b,5,fourteen,cluster1
5995,d,3,b,5,f,1,eight,cluster0
1615,c,3,h,7,g,6,draw,cluster0
26059,b,1,b,3,d,7,fifteen,cluster1
2852,c,2,e,5,a,1,one,cluster0
5788,d,1,g,8,h,4,eight,cluster1
594,b,2,e,1,d,2,draw,cluster0
12018,d,2,d,1,b,2,eleven,cluster0
1479,c,3,e,2,f,3,draw,cluster0
17513,b,1,h,5,d,8,thirteen,cluster1
25901,a,1,g,4,g,7,fifteen,cluster1
26377,b,1,f,1,d,2,fifteen,cluster1
20342,d,2,c,5,f,8,thirteen,cluster0
7855,d,3,g,4,b,8,nine,cluster0
7619,d,3,c,1,a,7,nine,cluster0
14003,c,1,e,2,h,8,twelve,cluster1
27312,c,2,f,3,d,5,fifteen,cluster0
19571,d,1,c,5,d,3,thirteen,cluster1
27322,d,1,b,1,c,4,fifteen,cluster1
3221,d,3,g,2,c,1,three,cluster0
7958,d,4,a,8,h,3,nine,cluster0
5583,c,3,a,4,h,2,eight,cluster0
5535,c,2,e,4,h,1,eight,cluster0
24922,d,1,g,2,d,7,fourteen,cluster1
10322,a,1,b,4,e,1,eleven,cluster1
17739,b,2,e,3,h,4,thirteen,cluster0
13762,b,2,g,6,e,1,twelve,cluster0
8537,b,1,g,5,h,7,ten,cluster1
27378,d,1,b,7,e,6,fifteen,cluster1
18729,c,2,c,8,c,4,thirteen,cluster0
17917,c,1,b,2,h,3,thirteen,cluster1
629,b,2,f,1,f,2,draw,cluster0
19800,d,1,f,1,a,4,thirteen,cluster1
11848,d,1,f,6,h,3,eleven,cluster1
14545,c,2,e,7,a,7,twelve,cluster0
10150,d,4,c,7,g,2,ten,cluster0
11817,d,1,f,2,g,4,eleven,cluster1
25812,a,1,e,5,h,5,fifteen,cluster1
27348,d,1,b,4,c,6,fifteen,cluster1
18387,c,2,a,1,e,3,thirteen,cluster0
17444,b,1,g,3,a,5,thirteen,cluster1
22651,c,1,a,2,d,4,fourteen,cluster1
12466,d,3,b,7,h,4,eleven,cluster0
10822,c,1,a,7,f,2,eleven,cluster1
7788,d,3,e,7,c,8,nine,cluster0
18524,c,2,a,8,f,5,thirteen,cluster0
19577,d,1,c,6,c,8,thirteen,cluster1
13341,b,1,d,2,c,6,twelve,cluster1
26868,c,1,b,3,c,5,fifteen,cluster1
20713,d,2,h,1,b,7,thirteen,cluster0
12940,d,4,b,1,g,7,eleven,cluster0
4264,d,3,b,1,a,5,six,cluster0
3210,d,3,b,6,b,1,three,cluster0
16661,d,3,h,6,f,4,twelve,cluster0
17450,b,1,g,4,g,8,thirteen,cluster1
13096,d,4,g,2,f,6,eleven,cluster0
26805,b,2,h,2,e,4,fifteen,cluster0
19700,d,1,e,2,b,5,thirteen,cluster1
7754,d,3,e,3,a,8,nine,cluster0
14462,c,2,e,2,f,6,twelve,cluster0
24206,d,1,a,4,a,6,fourteen,cluster1
11588,c,3,f,8,h,6,eleven,cluster0
19928,d,1,h,5,e,6,thirteen,cluster1
21626,b,1,c,5,d,8,fourteen,cluster1
17391,b,1,f,6,b,7,thirteen,cluster1
5757,d,1,f,4,h,2,eight,cluster1
9506,d,2,d,1,a,7,ten,cluster0
15624,d,2,c,3,g,8,twelve,cluster0
18808,c,2,d,7,h,7,thirteen,cluster0
13605,b,2,b,6,f,2,twelve,cluster0
14704,c,2,h,1,h,8,twelve,cluster0
3214,d,3,b,8,b,1,three,cluster0
16265,d,3,c,4,c,5,twelve,cluster0
7574,d,3,a,6,h,4,nine,cluster0
23444,c,1,g,7,b,4,fourteen,cluster1
22855,c,1,b,2,d,7,fourteen,cluster1
27142,c,1,f,6,c,4,fifteen,cluster1
15645,d,2,c,7,h,7,twelve,cluster0
2632,d,3,h,8,g,7,draw,cluster0
24833,d,1,f,4,b,4,fourteen,cluster1
3289,d,2,d,8,a,1,four,cluster0
18552,c,2,b,2,b,7,thirteen,cluster0
16783,a,1,b,5,g,4,thirteen,cluster1
5023,d,3,h,1,a,3,seven,cluster0
936,c,1,e,4,e,5,draw,cluster1
1226,c,2,d,4,e,4,draw,cluster0
21936,b,1,g,1,d,8,fourteen,cluster1
16494,d,3,g,2,c,6,twelve,cluster0
24468,d,1,b,8,e,8,fourteen,cluster1
4241,d,2,g,4,h,7,six,cluster0
5153,d,4,g,6,h,4,seven,cluster0
10331,a,1,b,5,f,1,eleven,cluster1
4590,c,1,g,5,h,1,seven,cluster1
15764,d,2,e,3,f,4,twelve,cluster0
15910,d,2,h,1,f,8,twelve,cluster0
27277,c,1,g,8,d,7,fifteen,cluster1
10313,a,1,a,6,f,1,eleven,cluster1
16457,d,3,f,8,c,6,twelve,cluster0
14902,c,3,c,2,g,3,twelve,cluster0
26533,b,1,g,6,d,5,fifteen,cluster1
20373,d,2,d,3,g,4,thirteen,cluster0
1649,d,1,a,7,a,6,draw,cluster1
21362,b,1,a,4,d,4,fourteen,cluster1
5084,d,4,d,1,h,1,seven,cluster0
17167,b,1,d,6,b,6,thirteen,cluster1
25556,a,1,a,7,h,5,fifteen,cluster1
6163,d,3,e,7,h,8,eight,cluster0
11677,d,1,c,2,a,2,eleven,cluster1
24410,d,1,b,4,f,5,fourteen,cluster1
27903,a,1,h,3,e,4,sixteen,cluster1
18527,c,2,a,8,g,4,thirteen,cluster0
19344,c,3,d,8,f,3,thirteen,cluster0
10631,b,1,g,4,g,2,eleven,cluster1
23706,c,2,b,2,b,4,fourteen,cluster0
15005,c,3,e,2,e,4,twelve,cluster0
15057,c,3,g,5,f,3,twelve,cluster0
16226,d,3,c,1,f,6,twelve,cluster0
7518,d,2,f,4,h,4,nine,cluster0
2320,d,3,a,1,b,1,draw,cluster0
11119,c,2,b,8,h,3,eleven,cluster0
6384,d,4,e,4,f,1,eight,cluster0
8004,d,4,b,6,e,1,nine,cluster0
261,b,1,b,7,c,7,draw,cluster1
16879,a,1,f,3,g,7,thirteen,cluster1
11981,d,2,b,5,f,4,eleven,cluster0
24983,d,1,g,5,e,4,fourteen,cluster1
16211,d,3,b,8,g,5,twelve,cluster0
26790,b,2,g,7,d,3,fifteen,cluster0
17104,b,1,c,6,f,8,thirteen,cluster1
18297,c,1,h,1,a,3,thirteen,cluster1
309,b,1,c,8,d,7,draw,cluster1
13078,d,4,e,7,g,4,eleven,cluster0
7669,d,3,c,6,h,6,nine,cluster0
3584,d,2,c,4,a,2,five,cluster0
2821,d,3,g,1,d,1,zero,cluster0
27842,a,1,g,3,c,3,sixteen,cluster1
6921,c,1,b,7,e,1,nine,cluster1
20818,d,2,h,6,e,6,thirteen,cluster0
15437,d,1,g,7,f,1,twelve,cluster1
18462,c,2,a,4,f,4,thirteen,cluster0
5143,d,4,g,3,h,1,seven,cluster0
15048,c,3,g,1,g,6,twelve,cluster0
11881,d,1,g,5,f,1,eleven,cluster1
9301,d,1,a,8,g,2,ten,cluster1
8319,a,1,a,3,f,2,ten,cluster1
916,c,1,e,1,f,1,draw,cluster1
13260,a,1,g,6,d,1,twelve,cluster1
14516,c,2,e,5,g,3,twelve,cluster0
8296,d,4,h,4,g,2,nine,cluster0
6423,d,4,e,8,c,2,eight,cluster0
9959,d,3,f,7,f,3,ten,cluster0
7305,c,3,e,7,f,1,nine,cluster0
17044,b,1,b,2,h,5,thirteen,cluster1
22136,b,1,h,5,e,6,fourteen,cluster1
25570,a,1,b,1,c,2,fifteen,cluster1
5578,c,3,a,3,f,1,eight,cluster0
4575,c,1,d,3,h,2,seven,cluster1
2122,d,2,d,6,d,5,draw,cluster0
10785,b,2,f,8,g,2,eleven,cluster0
16139,d,3,b,2,f,7,twelve,cluster0
7807,d,3,f,4,a,5,nine,cluster0
1030,c,1,g,1,g,2,draw,cluster1
3360,d,2,h,6,a,1,four,cluster0
2007,d,2,a,5,b,6,draw,cluster0
2155,d,2,e,6,d,6,draw,cluster0
12290,d,2,h,4,h,6,eleven,cluster0
24519,d,1,c,3,c,5,fourteen,cluster1
2937,c,1,h,3,a,1,two,cluster1
3059,c,3,f,5,c,1,two,cluster0
8996,c,2,f,4,g,7,ten,cluster0
5930,d,2,h,6,f,1,eight,cluster0
13436,b,1,f,1,g,7,twelve,cluster1
24015,c,2,g,7,d,7,fourteen,cluster0
14572,c,2,e,8,e,2,twelve,cluster0
16439,d,3,f,4,e,7,twelve,cluster0
17058,b,1,b,5,f,8,thirteen,cluster1
18309,c,1,h,3,a,3,thirteen,cluster1
4665,c,2,g,2,h,8,seven,cluster0
13126,d,4,h,2,g,5,eleven,cluster0
7217,c,3,a,2,h,2,nine,cluster0
10213,d,4,e,7,f,5,ten,cluster0
25477,d,2,g,7,c,4,fourteen,cluster0
8380,a,1,g,8,h,5,ten,cluster1
21127,a,1,e,2,h,5,fourteen,cluster1
18451,c,2,a,4,c,5,thirteen,cluster0
